Timestamp,Puzzle_Date,Model,Prompt_Type,Correct,Accuracy,Parse_Error
2025-04-30 21:28:35,2025-02-23,o3-mini,zero-shot,No,1,No
2025-04-30 21:29:59,2025-02-23,o3-mini,few-shot,No,2,No
2025-04-30 21:30:57,2025-02-23,o3-mini,cot,No,2,No
2025-04-30 21:32:27,2025-02-24,o3-mini,zero-shot,No,1,No
2025-04-30 21:33:51,2025-02-24,o3-mini,few-shot,No,2,No
2025-04-30 21:35:24,2025-02-24,o3-mini,cot,No,0,No
2025-04-30 21:49:41,2025-02-18,o3-mini,zero-shot,Yes,4,No
2025-04-30 21:49:54,2025-02-18,o3-mini,few-shot,Yes,4,No
2025-04-30 21:50:12,2025-02-18,o3-mini,cot,Yes,4,No
2025-04-30 21:50:29,2025-02-19,o3-mini,zero-shot,Yes,4,No
2025-04-30 21:50:48,2025-02-19,o3-mini,few-shot,Yes,4,No
2025-04-30 21:51:10,2025-02-19,o3-mini,cot,Yes,4,No
2025-04-30 21:52:08,2025-02-20,o3-mini,zero-shot,Yes,4,No
2025-04-30 21:52:32,2025-02-20,o3-mini,few-shot,Yes,4,No
2025-04-30 21:53:07,2025-02-20,o3-mini,cot,Yes,4,No
2025-04-30 21:53:39,2025-02-21,o3-mini,zero-shot,Yes,4,No
2025-04-30 21:54:23,2025-02-21,o3-mini,few-shot,Yes,4,No
2025-04-30 21:55:02,2025-02-21,o3-mini,cot,No,2,No
2025-04-30 21:55:43,2025-02-22,o3-mini,zero-shot,No,1,No
2025-04-30 21:56:35,2025-02-22,o3-mini,few-shot,No,1,No
2025-04-30 21:57:00,2025-02-22,o3-mini,cot,No,2,No
2025-04-30 22:16:47,2025-02-04,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:17:38,2025-02-04,o3-mini,few-shot,No,2,No
2025-04-30 22:18:05,2025-02-04,o3-mini,cot,Yes,4,No
2025-04-30 22:18:36,2025-02-05,o3-mini,zero-shot,No,2,No
2025-04-30 22:18:56,2025-02-05,o3-mini,few-shot,No,2,No
2025-04-30 22:19:52,2025-02-05,o3-mini,cot,No,2,No
2025-04-30 22:21:19,2025-02-06,o3-mini,zero-shot,No,0,No
2025-04-30 22:22:38,2025-02-06,o3-mini,few-shot,No,1,No
2025-04-30 22:22:59,2025-02-06,o3-mini,cot,Yes,4,No
2025-04-30 22:24:18,2025-02-07,o3-mini,zero-shot,No,2,No
2025-04-30 22:25:42,2025-02-07,o3-mini,few-shot,No,0,No
2025-04-30 22:27:14,2025-02-07,o3-mini,cot,No,1,No
2025-04-30 22:27:36,2025-02-08,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:28:08,2025-02-08,o3-mini,few-shot,Yes,4,No
2025-04-30 22:28:27,2025-02-08,o3-mini,cot,Yes,4,No
2025-04-30 22:28:46,2025-02-09,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:28:56,2025-02-09,o3-mini,few-shot,Yes,4,No
2025-04-30 22:29:11,2025-02-09,o3-mini,cot,Yes,4,No
2025-04-30 22:30:00,2025-02-10,o3-mini,zero-shot,No,1,No
2025-04-30 22:31:40,2025-02-10,o3-mini,few-shot,No,0,No
2025-04-30 22:33:03,2025-02-10,o3-mini,cot,No,1,No
2025-04-30 22:34:34,2025-02-11,o3-mini,zero-shot,No,1,No
2025-04-30 22:36:04,2025-02-11,o3-mini,few-shot,No,1,No
2025-04-30 22:37:50,2025-02-11,o3-mini,cot,No,1,No
2025-04-30 22:38:51,2025-02-12,o3-mini,zero-shot,No,1,No
2025-04-30 22:40:21,2025-02-12,o3-mini,few-shot,No,2,No
2025-04-30 22:40:57,2025-02-12,o3-mini,cot,No,2,No
2025-04-30 22:41:23,2025-02-13,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:41:42,2025-02-13,o3-mini,few-shot,Yes,4,No
2025-04-30 22:42:10,2025-02-13,o3-mini,cot,Yes,4,No
2025-04-30 22:42:54,2025-02-14,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:43:45,2025-02-14,o3-mini,few-shot,No,2,No
2025-04-30 22:44:22,2025-02-14,o3-mini,cot,No,2,No
2025-04-30 22:44:39,2025-02-15,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:44:57,2025-02-15,o3-mini,few-shot,Yes,4,No
2025-04-30 22:45:33,2025-02-15,o3-mini,cot,Yes,4,No
2025-04-30 22:46:36,2025-02-16,o3-mini,zero-shot,No,2,No
2025-04-30 22:47:21,2025-02-16,o3-mini,few-shot,Yes,4,No
2025-04-30 22:48:31,2025-02-16,o3-mini,cot,Yes,4,No
2025-04-30 22:48:53,2025-02-17,o3-mini,zero-shot,Yes,4,No
2025-04-30 22:49:27,2025-02-17,o3-mini,few-shot,No,2,No
2025-04-30 22:49:57,2025-02-17,o3-mini,cot,Yes,4,No
2025-04-30 23:03:59,2025-02-04,o3,zero-shot,Yes,4,No
2025-04-30 23:04:34,2025-02-04,o3,few-shot,Yes,4,No
2025-04-30 23:04:45,2025-02-04,o3,cot,Yes,4,No
2025-04-30 23:09:32,2025-02-05,o3,zero-shot,Yes,4,No
2025-04-30 23:10:10,2025-02-05,o3,few-shot,Yes,4,No
